Id,Total Earned Credits,Remaining Credits,BIF205,BIF243,BIF244,BIF245,BIF310,BIF375,BIF415,CSC201,CSC206,CSC241,CSC243,CSC245,CSC310,CSC320,CSC322,CSC326,CSC375,CSC412,CSC430,CSC435,CSC443,CSC447,CSC458,CSC460,CSC461,CSC480,CSC490,CSC491,CSC599,CSC615,MTH101,MTH102,MTH201,MTH206,MTH207,MTH301,MTH303,MTH304,MTH305,MTH307,MTH311,MTH401,MTH403,MTH409,STA102,STA205,STA302,CSC243B,CSC245B,CSC498B,CSC498G,CSC498H,CSC498P,CSC498X,CSC599H,CSC498AC,CSC498AD,CSC498AE,CSC498HJ,CSC498HM
stu72,85,37,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,,,,Y,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu73,104,18,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu74,78,44,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu75,101,21,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu76,108,14,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu77,79,43,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu78,61,61,,,,,,,,,Y,,Y,Y,,Y,Y,Y,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu79,29,93,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu80,67,55,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,
stu81,73,49,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu82,70,52,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,Y,,Y,,,,,,,
stu83,67,55,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,
stu84,63,59,,,,,,,,,Y,,Y,Y,Y,Y,Y,,Y,,,,,,,,,Y,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu85,49,73,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,Y,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,
stu86,56,66,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu87,71,51,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,
stu88,49,73,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu89,50,72,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu90,36,86,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,
stu91,95,27,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,,Y,,,,Y,Y,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,,
stu92,101,21,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,
stu93,118,4,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,Y,,,,,,Y,,,,Y,,
stu94,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu95,107,15,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,
stu96,74,48,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,,
stu97,107,15,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu98,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu99,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu100,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu101,103,19,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,
stu102,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu103,66,56,,,,,,,,,,Y,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,
stu104,82,40,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,,,,,Y,,Y,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu105,73,49,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,Y,,,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu106,73,49,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu107,76,46,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
